id	lang	idiom	type	core:quot	core:rep	feature	value:rep	value:quot	value:infer	value:unwit	value:mir	value:other	form	value:structure	source_label	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss_source	gloss	example_source	example_page	example_comment
47	Karata	Tukita	village	no	no	Evidential and quotative particles		attested					ƛ'ːi / ƛ'ːa	particle	частица косвенной речи	magomedbekova1971; gadzhieva2007	173; 140	According to Gadžieva (2007: 140), ƛ’i appears in the “inlaut” of the word, ƛ’a in the “auslaut”, judging from examples in Magomedbekova (1971: 173) this means ƛ’i can appear between the verb root and the converb suffix -baχ, while ƛ’a appears after the verb form.; According to Magomedbekova (1971: 173) all quotative particles derive from keƛ’e ‘said’.	Samira Verhees	particles_tukita_li.jpg						magomedbekova1971	173	
50	Karata	Karata	village	no	no	Evidential and quotative particles				attested			lda	particle	частица заглазного действия	magomedbekova1971	174		Samira Verhees	particles_karata_lda.jpg						magomedbekova1971	174	
48	Karata	Tukita	village	no	no	Evidential and quotative particles				attested			eƛ / ƛa	particle	частица заглазного действия	magomedbekova1971	174		Samira Verhees	particles_tukita_el.jpg						magomedbekova1971	174	
51	Khinalug	Khinalug	village	yes	yes	Evidential and quotative particles	not attested	not attested					NA	no particle	NA	kibriketal1972	NA		Samira Verhees									
54	Khwarshi	Kwantlada	village	yes	yes	Evidential and quotative particles	attested	not attested					č’aːl	verb	hearsay construction	khalilova2009	239	General tense of č’ala ‘to inform, to hear’. Similar construction of unclear status discussed in Khalilova (2009: 239), example 447. 	Samira Verhees	žequɬ os iλ-še (λɨn) č’āl.		They say that today (they) will give (us) money.		today money give-prs quot inform.gnt		khalilova2009	239	
52	Khwarshi	Kwantlada	village	no	no	Evidential and quotative particles							ƛɨn	particle	reported evidential particle	khalilova2009	237-239, 221		Samira Verhees	hed iλ-in ise žik’ó, dubo omˁoq’ˁe ħono-lux ˁōnˁōnλ-aλa, mo Ø-uh-a goli λɨn.		Then that man said, “You will die, when your donkey brays three times.”		then say-pst.uw that.obl man.obl.erg 2sg.gen1 donkey three-repet bray-antr 2sg.abs i-die-inf be.prs quot		khalilova2009	238	
53	Khwarshi	Kwantlada	village	no	no	Evidential and quotative particles							ƛo	particle	narrative particle	khalilova2009	237-239, 221		Samira Verhees	heč’č’e atɣuli hunne-ma b-us-i-λo isul boc’o q’ˁem-ɨn l-eλ-ɨn		First he met a wolf who had a headache. [The man who went to God]		most in.front road-in iii-find-pst.w-narr that.lat wolf(iii) head(iv)-and iv-be.ill-pfv.cvb		khalilova2009	238	
55	Kryz	Alik	village	yes	yes	Evidential and quotative particles	attested	not attested	attested	attested	attested		miš	particle	evidentiality-marking clitic	authier2009; authier2010	255-257; 15-17	Matter borrowing from Azerbaijani.	Samira Verhees	u-cbar ʕa-b-xhr-i k’ul-ci cuxud q’ay-ca-miş		The master of the house where they arrived had died.		3-hpl pv-hpl-come.pf-part house-gen master die-perf-evid		authier2010	16	According to Authier (2010: 16): “non-direct evidence in the past, not necessarily remote”
56	Kumyk	Standard Kumyk	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					no particle	no particle	NA	abdullaevaetal2014	NA		Samira Verhees									
59	Lak	Standard Lak	idiom	yes	yes	Evidential and quotative particles	attested	attested					tʹar	verb	NA	friedman2007	363-367	Verb ‘say’ third singular present.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_tar.jpg						friedman2007	365	
57	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles		attested					kunu	verb	NA	friedman2007	363-367	Verb ‘say’ past gerund.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_kunu.jpg						friedman2007	364	
58	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles		attested					tʹij	verb	NA	friedman2007	363-367	Verb ‘say’ present gerund.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_tij.jpg						friedman2007	364	
60	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles			attested				kːar	verb	NA	friedman2007	363-367	Verb ‘appear’ past gerund.	Samira Verhees	particles_lak_kar.jpg						friedman2007	368	
61	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles			attested				χːaj	verb	NA	friedman2007	363-367	Verb ‘appear’ present gerund.	Samira Verhees	particles_lak_xaj.jpg						friedman2007	367	
62	Lezgian	Standard Lezgian	idiom	yes	yes	Evidential and quotative particles	attested	not attested					lda	particle	NA	haspelmath1993	148		Samira Verhees	particles_lezgian_lda.jpg						haspelmath1993	148	
63	Nogai	Standard Nogai	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					NA	no particle	NA	NA			Samira Verhees									
67	Rutul	Standard Rutul (Mukhad)	idiom	yes	no	Evidential and quotative particles		attested					xʷa	particle	NA	maxmudova2002	252		Samira Verhees	"Хынхыра ""мыкьа йиъи"" хьва"		"""Мальчик говорит, что ему холодно"" (букв. ""Мальчик ""холодно есть"" говорит"")"				maxmudova2002	252	
64	Rutul	Standard Rutul (Mukhad)	idiom	no	no	Evidential and quotative particles		attested					xur	verb	NA	maxmudova2002	252	verb ‘say’ past	Samira Verhees	Хыных 'Мыкьа йиъи, мыкьа йиъи' хьур, некьик кирхьури		Мальчик, жалуясь на холод, уснул' (букв. 'Мальчик 'Холодно есть, холодно есть'  сказав, в сон упал')				maxmudova2002	252	
65	Rutul	Standard Rutul (Mukhad)	idiom	no	no	Evidential and quotative particles		attested					ruxura	verb	NA	maxmudova2002	252	verb ‘say’ present	Samira Verhees	Нин, нин!' рухьура, рухьура рыш некьиклаа киирхьури		Мама, мама' говоря, девочка проснулась' (букв. 'Мама, мама' говоря,  говоря, девочка из сна выпала')				maxmudova2002	252	
68	Rutul	Luchek	village	no	no	Evidential and quotative particles			attested				kal	particle	NA	alekseev1994rutul	237		Samira Verhees	t’urcː-kal kːirχːar		The colonel, it seems, is intervening.				alekseev1994	237	
66	Rutul	Standard Rutul (Mukhad)	idiom	no	yes	Evidential and quotative particles	not attested						xire	particle	NA	maxmudova2002	252	Particle for repetition of words.	Samira Verhees	Гь1аюхь! гь1аюхь!  - хьире, гихъджиихьир ъай К1асый		"""Жаль! Жаль! - не мог успокоиться Касай (букв. ""Жаль! Жаль! -говоря, не умолкал Касай)"				maxmudova2002	252	
70	Tabasaran	Southern Tabasaran	idiom	yes	yes	Evidential and quotative particles	not attested	attested					kʹurdi / kʹuri	verb	NA	magometov1965	340-341	Verb ‘say’ present gerund.	Samira Verhees	duɣu ɣapnu, uxurza ḳuri.		Он сказал, что прочтет. (досл. Он сказал, прочту, говоря.)				magometov1965	340	Dialect of the village Gumi (Northern Tabasaran).
71	Tabasaran	Southern Tabasaran	idiom	no	no	Evidential and quotative particles		attested					dnpnu / pnu	verb	NA	magometov1965	340-341	Verb ‘say’ past gerund.	Samira Verhees	dnɣu fikir apura, uč⁰ uǯur wu pnu (//ḳuri).		Он думает, сам хороший, сказав // говоря.				magometov1965	341	Dialect of the village Gumi (Northern Tabasaran).
72	Tindi	Tindi	village	yes	yes	Evidential and quotative particles	not attested	attested					ƛ'o	particle	цитатная форма глагола	magomedova2003; magomedova 2012	579; 202		Samira Verhees	particles_tindi_lo.jpg						magomedova2012	202	
73	Tsakhur	Mishlesh	village	yes	yes	Evidential and quotative particles	not attested	not attested				speaker acquired information about even in the past	jiː	particle		maisaktatevosov1998; maisaktatevosov2007	74-85; 392-403	Somehow evidentiality-adjacent.	Samira Verhees									
74	Tsakhur	Mishlesh	village	no	no	Evidential and quotative particles						speaker’s epistemic authority regarding an event	niː	particle		maisaktatevosov1998	64-73	Somehow evidentiality-adjacent.	Samira Verhees									
75	Tsez	Asakh	village	yes	no	Evidential and quotative particles		attested					ƛin	particle	quotative particle	khalilova2011	NA		Samira Verhees	c’i rik’asi keč’oqan Ø-ay-x-λin eλi-x išk’olār.		(They) say the famous singer will arrive at (our) school.		name man(i) singer i-come-prs-quot say-prs school.in.lat		khalilova2011	44	
76	Tsez	Asakh	village	no	yes	Evidential and quotative particles	attested						ƛaχ	particle	narrative particle	khalilova2011	NA		Samira Verhees	No example.								
77	Udi	Nizh	village	yes	yes	Evidential and quotative particles	not attested	not attested					no particle	no particle	NA	schulze1982	NA		Samira Verhees									
